6
134
78
452
2210   40   20
0   -6   15   0
1   3.2   5.1   30
2   24.6   8.3   226
3   23.3   1.3   37
4   27.8   8.3   24
5   29   8   36
6   31   8   1
7   33.5   10.5   31
8   30   10.5   24
9   29   10   30
10   26.5   11.7   24
11   28.3   14.3   24
12   27   14.3   32
13   23.5   19   24
14   26   20   24
15   25   20   19
16   20.5   19   24
17   -20   13   18
18   -21   14   36
19   -30   30   115
20   -5   30   24
21   1.3   17.8   24
22   1.8   13.8   61
23   1.8   13.1   71
24   2   13.6   36
25   4.8   17   18
26   7   15   30
27   9.8   16.6   31
28   11.4   14.5   36
29   14.4   11.3   18
30   11   12   1004
31   9.3   10.7   18
32   0.6   2.8   34
33   -30   -10   504
34   2   0   18
35   14.5   1   39
36   15   1.8   24
37   17.2   2.4   37
38   17.2   4.2   24
39   18.2   4.4   99
40   20.3   2.1   24
41   22.8   3.1   24
42   23   4   36
43   20.8   4   30
44   20.8   4   25
45   18.5   6.4   24
46   -14   16   122
47   -0.5   6.9   196
48   3.2   2.8   229
49   5.6   1.8   83
50   8.7   2.8   18
51   9   3.3   24
52   9   3.5   306
53   11.2   3.3   18
54   10.8   4.7   20
55   11.5   4.6   18
56   12.3   4.7   24
57   12.3   5.5   22
58   11.2   6.9   24
59   6.5   9.7   18
60   5.8   8.5   18
61   7.2   6   24
62   7.2   4   24
63   -4   -4   30
64   -3   1.2   24
65   -40   49   40
66   -15   10   166
67   -11   -10   254
68   -25   -20   187
69   -25   -35   94
70   -24   -35   17
71   -18   10   285
72   -2   10   24
73   -4   8   24
74   -3   5   205
75   2.1   6.2   23
76   -1.7   3   28
77   -3   2   51
78   -7   0   49
79   -3   -6   19
80   -30   -11   262
81   -62   -10   120
82   -8   30   266
83   1   60   704
84   10   52   38
85   10   52   18
86   10   51   30
87   16   29   25
88   26   21   12
89   16   21   18
90   15.5   19.2   25
91   0   16.5   35
92   17.2   14.3   18
93   16.5   7.8   12
94   16.9   7.7   20
95   18   2   1126
96   16.2   4   9
97   15   4   36
98   15   3   12
99   14.8   2.4   31
100   14.5   3   96
101   13   2.6   27
102   11.8   3   54
103   12   4   137
104   12.8   3.6   12
105   13.4   5.5   58
106   -150   8   206
107   -152   1   178
108   -152   0   486
109   -142   -31   36
110   -78   -19   261
111   -78   -18   135
112   -78   -17   135
113   -80   -14   373
114   -118   22   535
115   -107   30   42
116   -85   14   9
117   -78   15   110
118   -15   16   36
119   -62   32   18
120   -120   -20   726
121   -90   -22   187
122   -79   -19   23
123   -79   -18.5   134
124   -79   -18   47
125   -78   -17.5   51
126   -79   -17   43
127   -80   -17   79
128   -80   -16   112
129   -80   -15   91
130   -48   37   232
131   -85   15   483
132   -62   -9   828
133   -15   -4   11
134   -1   3.2   12

1   6   5   13   13   7   9   9   9   15   14   5   12   7   
2   4   11   8   11   6   8   14   10   15   
3   1   12   12   
4   1   5   15   
5   3   8   10   10   10   9   13   
6   4   15   9   13   7   12   10   12   12   
7   1   11   7   
8   6   9   11   6   15   13   6   15   6   11   6   12   10   
9   2   8   13   7   14   
10   5   11   9   9   11   6   15   6   13   12   12   
11   5   8   15   14   5   8   10   7   14   9   11   
12   1   7   12   
13   2   11   11   15   7   
14   6   11   11   9   15   14   6   10   5   9   12   9   14   
15   3   11   6   10   10   10   10   
16   4   14   6   15   10   10   10   10   10   
17   2   8   14   12   12   
18   6   11   7   8   8   11   9   6   13   6   14   10   15   
19   6   11   11   8   8   13   10   5   14   12   12   12   10   
20   6   8   12   15   5   11   8   12   12   9   15   6   11   
21   1   14   6   
22   2   9   9   8   8   
23   6   7   13   11   7   12   12   9   9   9   14   15   10   
24   1   10   5   
25   3   9   14   9   13   10   10   
26   3   10   10   9   9   10   14   
27   5   10   12   10   10   11   7   13   7   5   15   
28   6   11   7   10   10   11   11   10   12   15   5   13   5   
29   4   8   8   15   5   10   6   9   9   
30   4   9   9   8   8   11   11   5   15   
31   2   13   8   12   12   
32   4   12   6   14   9   11   11   8   8   
33   6   11   10   11   5   11   8   11   6   10   10   11   11   
34   3   11   5   8   8   13   8   
35   3   7   14   11   11   12   12   
36   4   10   7   11   6   10   14   7   14   
37   2   10   6   13   8   
38   4   12   8   14   7   15   10   9   10   
39   2   5   12   12   9   
40   2   10   15   6   13   
41   6   8   11   9   9   9   12   10   13   6   10   10   9   
42   6   9   10   13   8   5   13   11   11   9   12   9   15   
43   1   13   6   
44   4   13   10   12   7   7   15   10   10   
45   5   15   8   14   6   5   15   14   10   7   11   
46   3   8   8   14   10   12   12   
47   1   9   12   
48   6   13   9   14   8   13   8   12   7   5   15   11   11   
49   2   5   10   11   11   
50   1   12   12   
51   3   9   11   10   10   10   10   
52   1   9   9   
53   5   12   12   8   13   12   9   7   15   5   10   
54   3   5   11   14   6   13   6   
55   6   7   14   9   10   10   5   8   8   9   10   6   11   
56   2   13   10   6   11   
57   3   11   11   9   9   5   11   
58   2   15   7   7   10   
59   2   10   10   10   13   
60   3   5   10   14   9   7   13   
61   3   9   13   11   11   5   11   
62   2   10   10   10   14   
63   3   10   9   7   10   8   11   
64   2   10   12   8   8   
65   4   15   9   7   12   11   7   9   11   
66   5   9   13   5   13   10   10   6   15   9   15   
67   1   6   10   
68   1   13   6   
69   4   8   10   11   11   15   5   9   9   
70   3   11   8   9   9   12   12   
71   4   12   12   8   12   10   10   8   8   
72   3   13   9   8   8   14   9   
73   3   10   6   6   11   10   15   
74   1   5   12   
75   3   9   10   8   14   5   13   
76   5   8   8   5   13   10   9   6   15   9   9   
77   3   10   12   7   15   10   10   
78   6   12   12   10   13   12   12   14   9   11   11   15   8   
79   6   8   14   8   13   12   7   5   10   14   6   11   7   
80   4   14   8   14   5   12   12   6   12   
81   5   10   10   12   6   11   11   8   8   10   10   
82   4   5   10   9   9   6   13   13   7   
83   2   12   12   5   14   
84   2   12   9   10   10   
85   3   9   9   11   6   5   10   
86   4   15   8   7   13   13   10   9   9   
87   5   9   9   12   12   12   12   7   10   7   14   
88   5   13   9   12   10   10   10   8   12   15   9   
89   2   8   14   10   11   
90   3   15   5   10   10   12   7   
91   3   7   13   15   7   12   12   
92   6   9   9   11   11   11   11   13   5   8   8   10   10   
93   4   8   12   6   14   14   10   9   11   
94   6   8   12   11   11   9   9   5   14   9   9   14   7   
95   5   7   12   9   9   8   8   12   6   15   10   
96   1   15   8   
97   1   8   12   
98   6   12   6   6   12   14   9   7   14   11   11   10   10   
99   4   9   11   12   5   13   9   15   6   
100   5   13   5   10   10   7   14   9   9   9   9   
101   1   12   8   
102   6   11   10   11   11   10   10   10   12   8   8   14   7   
103   5   7   13   12   12   8   8   12   12   11   8   
104   4   10   10   15   10   15   8   6   10   
105   3   9   9   13   6   10   14   
106   3   5   11   5   12   9   10   
107   4   8   8   8   8   6   10   9   9   
108   1   10   8   
109   2   9   9   11   6   
110   3   13   10   8   8   11   11   
111   4   7   11   6   13   11   11   10   13   
112   1   15   5   
113   3   10   14   9   10   14   6   
114   2   8   8   7   15   
115   2   7   15   9   9   
116   2   12   12   11   7   
117   5   9   9   10   12   10   10   11   5   7   11   
118   4   9   10   7   10   10   13   8   15   
119   1   8   12   
120   2   10   10   13   10   
121   2   10   10   8   8   
122   1   6   14   
123   5   12   12   8   10   13   10   6   13   10   10   
124   5   7   11   10   10   5   12   8   15   11   11   
125   6   14   7   9   11   11   10   6   13   9   14   12   10   
126   1   14   7   
127   5   11   11   10   13   8   13   12   12   9   15   
128   1   13   7   
129   4   12   12   9   10   5   11   15   7   
130   5   13   8   12   12   6   12   12   5   11   6   
131   3   10   12   7   13   15   7   
132   2   13   6   12   12   
133   2   7   12   14   9   
134   4   13   8   10   10   11   11   13   10   
